year,state,count
2007,AL,92
2007,CA,324
2007,DC,181
2007,FL,210
2007,GA,144
2007,IL,445
2007,IN,113
2007,MA,66
2007,MD,280
2007,MN,41
2007,MO,227
2007,NC,98
2007,NE,41
2007,NV,119
2007,NY,56
2007,OH,146
2007,OK,134
2007,PA,453
2007,TN,210
2007,TX,729
2007,VA,56
2007,wI,103
2008,AL,81
2008,CA,421
2008,DC,186
2008,FL,184
2008,GA,127
2008,IL,510
2008,IN,114
2008,LA,2
2008,MA,66
2008,MD,234
2008,MN,35
2008,MO,286
2008,NC,107
2008,NE,44
2008,NV,133
2008,NY,37
2008,OH,184
2008,OK,112
2008,PA,411
2008,TN,211
2008,TX,628
2008,VA,31
2008,wI,71
2009,AL,65
2009,CA,338
2009,DC,144
2009,FL,159
2009,GA,100
2009,IL,457
2009,IN,99
2009,LA,2
2009,MA,49
2009,MD,236
2009,MN,15
2009,MO,249
2009,NC,77
2009,NE,33
2009,NV,121
2009,NY,61
2009,OH,140
2009,OK,125
2009,PA,348
2009,TN,212
2009,TX,594
2009,VA,39
2009,wI,72
2010,AL,58
2010,CA,626
2010,CO,38
2010,DC,132
2010,FL,187
2010,GA,108
2010,IL,434
2010,IN,92
2010,KY,52
2010,LA,186
2010,MA,74
2010,MD,220
2010,MI,310
2010,MN,35
2010,MO,243
2010,NC,84
2010,NE,33
2010,NM,45
2010,NV,112
2010,NY,54
2010,OH,175
2010,OK,108
2010,PA,365
2010,TN,148
2010,TX,555
2010,VA,41
2010,wI,95
2011,AL,54
2011,AZ,124
2011,CA,646
2011,CO,43
2011,DC,108
2011,FL,146
2011,GA,113
2011,IL,437
2011,IN,96
2011,KY,53
2011,LA,275
2011,MA,64
2011,MD,197
2011,MI,346
2011,MN,35
2011,MO,224
2011,NC,83
2011,NE,39
2011,NM,38
2011,NV,88
2011,NY,36
2011,OH,156
2011,OK,113
2011,PA,368
2011,TN,171
2011,TX,383
2011,VA,37
2011,wI,89
2012,AL,68
2012,AZ,126
2012,CA,774
2012,CO,40
2012,DC,88
2012,FL,177
2012,GA,101
2012,IL,505
2012,IN,96
2012,KY,62
2012,LA,273
2012,MA,59
2012,MD,216
2012,MI,386
2012,MN,42
2012,MO,217
2012,NC,72
2012,NE,39
2012,NM,46
2012,NV,81
2012,NY,50
2012,OH,143
2012,OK,124
2012,PA,376
2012,TN,197
2012,TX,413
2012,VA,44
2012,wI,93
2013,AL,64
2013,AZ,124
2013,CA,610
2013,CO,42
2013,DC,104
2013,FL,199
2013,GA,104
2013,IL,423
2013,IN,125
2013,KY,48
2013,LA,206
2013,MA,42
2013,MD,231
2013,MI,337
2013,MN,41
2013,MO,221
2013,NC,82
2013,NE,40
2013,NM,33
2013,NV,97
2013,NY,47
2013,OH,168
2013,OK,125
2013,PA,295
2013,TN,167
2013,TX,486
2013,VA,37
2013,wI,101
2014,AL,52
2014,AZ,117
2014,CA,609
2014,CO,31
2014,DC,105
2014,FL,211
2014,GA,118
2014,IL,418
2014,IN,138
2014,KY,58
2014,LA,215
2014,MA,55
2014,MD,211
2014,MI,294
2014,MN,33
2014,MO,241
2014,NC,66
2014,NE,32
2014,NM,28
2014,NV,124
2014,NY,63
2014,OH,153
2014,OK,93
2014,PA,320
2014,TN,180
2014,TX,514
2014,VA,42
2014,wI,87
2015,AL,78
2015,AZ,116
2015,CA,670
2015,CO,53
2015,DC,162
2015,FL,214
2015,GA,137
2015,IL,487
2015,IN,144
2015,KY,81
2015,LA,229
2015,MA,39
2015,MD,342
2015,MI,280
2015,MN,48
2015,MO,298
2015,NC,97
2015,NE,50
2015,NM,50
2015,NV,131
2015,NY,41
2015,OH,136
2015,OK,127
2015,PA,337
2015,TN,216
2015,TX,585
2015,VA,42
2015,wI,146
2016,AL,91
2016,AZ,146
2016,CA,712
2016,CO,57
2016,DC,135
2016,FL,202
2016,GA,148
2016,IL,765
2016,IN,150
2016,KY,117
2016,LA,220
2016,MA,46
2016,MD,320
2016,MI,300
2016,MN,34
2016,MO,309
2016,NC,108
2016,NE,29
2016,NM,63
2016,NV,158
2016,NY,380
2016,OH,166
2016,OK,140
2016,PA,336
2016,TN,279
2016,TX,680
2016,VA,60
2016,wI,139
2017,AL,98
2017,AZ,161
2017,CA,558
2017,CO,8
2017,FL,231
2017,GA,19
2017,IL,654
2017,IN,155
2017,KY,105
2017,LA,250
2017,MA,54
2017,MD,340
2017,MI,266
2017,MN,7
2017,MO,352
2017,NC,89
2017,NE,29
2017,NM,75
2017,NV,217
2017,NY,323
2017,OH,211
2017,OK,54
2017,PA,59
2017,TN,290
2017,TX,324
2017,wI,119
