Occupation,category,income,count
Adm-clerical,Adm-clerical >50K,>50K,498
Adm-clerical,Adm-clerical <=50K,<=50K,3223
Armed-Forces,Armed-Forces >50K,>50K,1
Armed-Forces,Armed-Forces <=50K,<=50K,8
Craft-repair,Craft-repair >50K,>50K,908
Craft-repair,Craft-repair <=50K,<=50K,3122
Exec-managerial,Exec-managerial >50K,>50K,1937
Exec-managerial,Exec-managerial <=50K,<=50K,2055
Farming-fishing,Farming-fishing >50K,>50K,115
Farming-fishing,Farming-fishing <=50K,<=50K,874
Handlers-cleaners,Handlers-cleaners >50K,>50K,83
Handlers-cleaners,Handlers-cleaners <=50K,<=50K,1267
Machine-op-inspct,Machine-op-inspct >50K,>50K,245
Machine-op-inspct,Machine-op-inspct <=50K,<=50K,1721
Other-service,Other-service >50K,>50K,132
Other-service,Other-service <=50K,<=50K,3080
Priv-house-serv,Priv-house-serv >50K,>50K,1
Priv-house-serv,Priv-house-serv <=50K,<=50K,142
Prof-specialty,Prof-specialty >50K,>50K,1811
Prof-specialty,Prof-specialty <=50K,<=50K,2227
Protective-serv,Protective-serv >50K,>50K,210
Protective-serv,Protective-serv <=50K,<=50K,434
Sales,Sales >50K,>50K,970
Sales,Sales <=50K,<=50K,2614
Tech-support,Tech-support >50K,>50K,278
Tech-support,Tech-support <=50K,<=50K,634
Transport-moving,Transport-moving >50K,>50K,319
Transport-moving,Transport-moving <=50K,<=50K,1253
