age,education,maritalstatus,occupation,hoursperweek,income
82,HS-grad,Widowed,Exec-managerial,18,<=50K
54,7th-8th,Divorced,Machine-op-inspct,40,<=50K
41,Some-college,Separated,Prof-specialty,40,<=50K
34,HS-grad,Divorced,Other-service,45,<=50K
38,10th,Separated,Adm-clerical,40,<=50K
68,HS-grad,Divorced,Prof-specialty,40,<=50K
29,11th,Separated,Sales,42,<=50K
61,HS-grad,Divorced,Sales,25,<=50K
51,Some-college,Married-civ-spouse,Transport-moving,40,<=50K
21,Assoc-voc,Married-civ-spouse,Craft-repair,40,<=50K
33,1st-4th,Married-civ-spouse,Craft-repair,32,<=50K
49,5th-6th,Married-civ-spouse,Other-service,40,<=50K
71,HS-grad,Married-civ-spouse,Sales,52,<=50K
73,HS-grad,Married-civ-spouse,Farming-fishing,40,<=50K
26,Assoc-voc,Married-civ-spouse,Adm-clerical,45,<=50K
36,HS-grad,Married-civ-spouse,Prof-specialty,60,<=50K
27,Some-college,Married-civ-spouse,Adm-clerical,20,<=50K
35,Some-college,Married-civ-spouse,Exec-managerial,40,<=50K
23,HS-grad,Married-civ-spouse,Sales,40,<=50K
52,HS-grad,Married-civ-spouse,Sales,40,<=50K
40,Assoc-acdm,Married-civ-spouse,Craft-repair,50,<=50K
21,Some-college,Married-civ-spouse,Exec-managerial,48,<=50K
35,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
61,HS-grad,Married-civ-spouse,Farming-fishing,50,<=50K
65,HS-grad,Married-civ-spouse,Farming-fishing,65,<=50K
46,5th-6th,Divorced,Craft-repair,45,<=50K
26,Bachelors,Never-married,Prof-specialty,55,<=50K
59,HS-grad,Widowed,Farming-fishing,40,<=50K
61,5th-6th,Never-married,Handlers-cleaners,40,<=50K
60,Bachelors,Divorced,Prof-specialty,40,<=50K
49,Some-college,Divorced,Exec-managerial,50,<=50K
25,Bachelors,Never-married,Prof-specialty,35,<=50K
59,HS-grad,Separated,Protective-serv,40,<=50K
28,Some-college,Separated,Exec-managerial,40,<=50K
56,Masters,Divorced,Sales,60,<=50K
41,HS-grad,Divorced,Craft-repair,40,<=50K
42,HS-grad,Never-married,Adm-clerical,40,<=50K
28,Prof-school,Never-married,Prof-specialty,40,<=50K
40,Prof-school,Divorced,Other-service,35,<=50K
66,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
69,5th-6th,Married-civ-spouse,Machine-op-inspct,40,<=50K
55,Masters,Married-civ-spouse,Prof-specialty,40,<=50K
57,HS-grad,Never-married,Adm-clerical,40,<=50K
20,Some-college,Never-married,Farming-fishing,10,<=50K
33,HS-grad,Divorced,Craft-repair,84,<=50K
30,Some-college,Never-married,Sales,40,<=50K
40,Bachelors,Never-married,Tech-support,48,<=50K
57,Bachelors,Never-married,Adm-clerical,40,<=50K
27,HS-grad,Never-married,Craft-repair,50,<=50K
34,Masters,Never-married,Prof-specialty,50,<=50K
33,12th,Divorced,Craft-repair,42,<=50K
38,Masters,Never-married,Prof-specialty,60,<=50K
36,HS-grad,Never-married,Exec-managerial,70,<=50K
44,Some-college,Never-married,Sales,60,<=50K
31,HS-grad,Separated,Machine-op-inspct,40,<=50K
28,10th,Widowed,Adm-clerical,35,<=50K
90,HS-grad,Never-married,Other-service,40,<=50K
68,HS-grad,Widowed,Adm-clerical,30,<=50K
65,HS-grad,Divorced,Adm-clerical,59,<=50K
67,Bachelors,Divorced,Exec-managerial,5,<=50K
66,Bachelors,Widowed,Prof-specialty,25,<=50K
24,Some-college,Never-married,Adm-clerical,24,<=50K
44,Some-college,Divorced,Machine-op-inspct,35,<=50K
35,Some-college,Never-married,Adm-clerical,40,<=50K
20,Assoc-acdm,Never-married,Other-service,18,<=50K
38,HS-grad,Divorced,Craft-repair,40,<=50K
39,Some-college,Never-married,Other-service,40,<=50K
32,Some-college,Never-married,Machine-op-inspct,40,<=50K
42,7th-8th,Never-married,Handlers-cleaners,40,<=50K
64,11th,Married-civ-spouse,Craft-repair,40,<=50K
28,7th-8th,Married-civ-spouse,Handlers-cleaners,40,<=50K
41,Assoc-voc,Married-civ-spouse,Sales,84,<=50K
41,7th-8th,Married-civ-spouse,Craft-repair,40,<=50K
58,1st-4th,Married-civ-spouse,Transport-moving,18,<=50K
59,Some-college,Married-civ-spouse,Exec-managerial,40,<=50K
34,HS-grad,Married-civ-spouse,Farming-fishing,12,<=50K
45,HS-grad,Married-civ-spouse,Transport-moving,45,<=50K
29,HS-grad,Married-civ-spouse,Adm-clerical,40,<=50K
47,10th,Married-civ-spouse,Sales,52,<=50K
