state,disposition,count
AL,Arrest,454
AL,No Arrest,64
AL,Open,283
AZ,Arrest,410
AZ,No Arrest,96
AZ,Open,408
CA,Arrest,3263
CA,No Arrest,168
CA,Open,2857
CO,Arrest,143
CO,No Arrest,46
CO,Open,123
DC,Arrest,756
DC,No Arrest,74
DC,Open,515
FL,Arrest,978
FL,No Arrest,212
FL,Open,930
GA,Arrest,731
GA,No Arrest,70
GA,Open,418
IL,Arrest,1462
IL,No Arrest,387
IL,Open,3686
IN,Arrest,728
IN,No Arrest,102
IN,Open,492
KY,Arrest,315
KY,Open,261
LA,Arrest,732
LA,No Arrest,114
LA,Open,1012
MA,Arrest,304
MA,Open,310
MD,Arrest,1002
MD,No Arrest,152
MD,Open,1673
MI,Arrest,1037
MI,No Arrest,16
MI,Open,1466
MN,Arrest,179
MN,No Arrest,31
MN,Open,156
MO,Arrest,1476
MO,No Arrest,76
MO,Open,1315
NC,Arrest,656
NC,No Arrest,55
NC,Open,252
NE,Arrest,240
NE,No Arrest,10
NE,Open,159
NM,Arrest,232
NM,No Arrest,52
NM,Open,94
NV,Arrest,809
NV,No Arrest,175
NV,Open,397
NY,Arrest,586
NY,No Arrest,25
NY,Open,537
OH,Arrest,894
OH,No Arrest,129
OH,Open,755
OK,Arrest,736
OK,No Arrest,66
OK,Open,453
PA,Arrest,1971
PA,No Arrest,92
PA,Open,1605
TN,Arrest,1520
TN,No Arrest,107
TN,Open,654
TX,Arrest,3032
TX,No Arrest,546
TX,Open,2313
VA,Arrest,316
VA,No Arrest,20
VA,Open,93
wI,Arrest,712
wI,No Arrest,37
wI,Open,366
